#body,head,ruleId,isAgg,isTx
endAuction,end,0,false,false
bid,highestBid,1,true,false
highestBid,withdraw,2,false,true
msgSender,withdraw,2,false,true
end,withdraw,2,false,true
balance,withdraw,2,false,true
beneficiary,send,3,false,true
end,send,3,false,true
owner,send,3,false,true
highestBid,send,3,false,true
now,send,3,false,true
endTime,send,3,false,true
msgSender,send,3,false,true
withdraw,withdrawTotal,4,true,false
msgSender,withdraw,5,false,true
end,withdraw,5,false,true
highestBid,withdraw,5,false,true
balance,withdraw,5,false,true
withdraw,withdrawCount,6,true,false
withdrawTotal,balance,7,false,false
bidTotal,balance,7,false,false
withdraw,send,8,false,false
endTime,bid,10,false,true
highestBid,bid,10,false,true
msgValue,bid,10,false,true
now,bid,10,false,true
msgSender,bid,10,false,true
end,bid,10,false,true
bid,bidTotal,12,true,false
end,endAuction,13,false,true
owner,endAuction,13,false,true
endTime,endAuction,13,false,true
now,endAuction,13,false,true
msgSender,endAuction,13,false,true
withdrawCount,repeatWithdraw,14,false,false
