#body,head,ruleId,isAgg,isTx
freeze,totalFreeze,0,true,false
transferFrom,transfer,1,false,false
freezeOf,freezeSum,2,true,false
withdrawEther,send,3,false,false
msgSender,unfreeze,6,false,true
freezeOf,unfreeze,6,false,true
msgSender,transfer,7,false,true
balanceOf,transfer,7,false,true
mint,allMint,9,true,false
totalBalances,unequalBalance,10,false,false
totalSupply,unequalBalance,10,false,false
freezeSum,unequalBalance,10,false,false
totalUnfreeze,freezeOf,11,false,false
totalFreeze,freezeOf,11,false,false
unfreeze,totalUnfreeze,12,true,false
freezeOf,balanceOf,13,false,false
totalBurn,balanceOf,13,false,false
totalIn,balanceOf,13,false,false
totalOut,balanceOf,13,false,false
totalMint,balanceOf,13,false,false
msgSender,burn,14,false,true
balanceOf,burn,14,false,true
burn,totalBurn,15,true,false
mint,totalMint,16,true,false
allBurn,totalSupply,17,false,false
allMint,totalSupply,17,false,false
transfer,totalOut,18,true,false
balanceOf,totalBalances,19,true,false
transferFrom,spentTotal,20,true,false
owner,withdrawEther,21,false,true
msgSender,withdrawEther,21,false,true
msgSender,freeze,22,false,true
balanceOf,freeze,22,false,true
allowanceTotal,allowance,24,false,false
spentTotal,allowance,24,false,false
owner,mint,25,false,true
msgSender,mint,25,false,true
burn,allBurn,26,true,false
allowance,increaseAllowance,27,false,true
msgSender,increaseAllowance,27,false,true
transfer,totalIn,29,true,false
increaseAllowance,allowanceTotal,31,true,false
allowance,transferFrom,32,false,true
msgSender,transferFrom,32,false,true
balanceOf,transferFrom,32,false,true
