#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
decreaseAllowance,decreaseAllowanceTotal,1,true,false
msgSender,decreaseAllowance,2,false,true
allowance,decreaseAllowance,2,false,true
totalBalances,unequalBalance,4,false,false
totalSupply,unequalBalance,4,false,false
increaseAllowance,increaseAllowanceTotal,5,true,false
msgSender,controllerRedeem,6,false,true
controller,controllerRedeem,6,false,true
balanceOf,controllerRedeem,6,false,true
transferFrom,spentTotal,8,true,false
transfer,totalIn,11,true,false
spentTotal,allowance,12,false,false
decreaseAllowanceTotal,allowance,12,false,false
increaseAllowanceTotal,allowance,12,false,false
mint,allMint,14,true,false
msgSender,controllerTransfer,15,false,true
balanceOf,controllerTransfer,15,false,true
controller,controllerTransfer,15,false,true
msgSender,mint,16,false,true
msgSender,decreaseAllowance,17,false,true
controllerTransfer,transfer,18,false,false
burn,totalBurn,19,true,false
allowance,increaseAllowance,20,false,true
msgSender,increaseAllowance,20,false,true
mint,totalMint,21,true,false
msgSender,increaseAllowance,22,false,true
allBurn,totalSupply,23,false,false
allMint,totalSupply,23,false,false
balanceOf,transfer,24,false,true
msgSender,transfer,24,false,true
transfer,totalOut,25,true,false
balanceOf,totalBalances,26,true,false
controllerRedeem,burn,27,false,false
totalIn,balanceOf,28,false,false
totalBurn,balanceOf,28,false,false
totalOut,balanceOf,28,false,false
totalMint,balanceOf,28,false,false
balanceOf,burn,29,false,true
msgSender,burn,29,false,true
allowance,transferFrom,32,false,true
msgSender,transferFrom,32,false,true
balanceOf,transferFrom,32,false,true
burn,allBurn,33,true,false
