#body,head,ruleId,isAgg,isTx
issueByPartition,allMint,0,true,false
msgSender,issueByPartition,1,false,true
owner,issueByPartition,1,false,true
balanceOfByPartition,totalBalancesByPartition,2,true,false
issueTotalByPartition,totalSupplyByPartition,4,false,false
redeemTotalByPartition,totalSupplyByPartition,4,false,false
issueByPartition,issueTotalByPartition,5,true,false
transferByPartition,totalOut,6,true,false
allMint,totalSupply,7,false,false
allBurn,totalSupply,7,false,false
issueByPartition,totalMint,8,true,false
balanceOfByPartition,transferByPartition,9,false,true
balanceOfByPartition,redeemByPartition,10,false,true
msgSender,redeemByPartition,10,false,true
owner,redeemByPartition,10,false,true
redeemByPartition,allBurn,11,true,false
totalBalancesByPartition,unequalBalance,13,false,false
totalSupplyByPartition,unequalBalance,13,false,false
totalBurn,balanceOfByPartition,14,false,false
totalOut,balanceOfByPartition,14,false,false
totalIn,balanceOfByPartition,14,false,false
totalMint,balanceOfByPartition,14,false,false
redeemByPartition,redeemTotalByPartition,15,true,false
redeemByPartition,totalBurn,16,true,false
transferByPartition,totalIn,17,true,false
