#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
msgSender,transfer,2,false,true
balanceOf,transfer,2,false,true
paused,transfer,2,false,true
reclaimToken,transfer,3,false,false
totalBalances,unequalBalance,4,false,false
totalSupply,unequalBalance,4,false,false
owner,reclaimToken,5,false,true
msgSender,reclaimToken,5,false,true
this,reclaimToken,5,false,true
balanceOf,reclaimToken,5,false,true
transferOwnership,pendingOwner,6,false,false
paused,unpause,7,false,true
msgSender,unpause,7,false,true
owner,unpause,7,false,true
totalBurn,balanceOf,8,false,false
totalMint,balanceOf,8,false,false
totalIn,balanceOf,8,false,false
totalOut,balanceOf,8,false,false
decreaseAllowance,decreaseAllowanceTotal,9,true,false
msgSender,pause,10,false,true
owner,pause,10,false,true
paused,pause,10,false,true
msgSender,mint,11,false,true
owner,mint,11,false,true
transfer,totalIn,12,true,false
claimOwnership,pendingOwner,13,false,false
pause,paused,14,false,false
msgSender,claimOwnership,15,false,true
pendingOwner,claimOwnership,15,false,true
allowance,transferFrom,16,false,true
paused,transferFrom,16,false,true
msgSender,transferFrom,16,false,true
balanceOf,transferFrom,16,false,true
balanceOf,burn,17,false,true
msgSender,burn,17,false,true
mint,allMint,18,true,false
msgSender,increaseAllowance,19,false,true
burn,totalBurn,20,true,false
mint,totalMint,21,true,false
allMint,totalSupply,22,false,false
allBurn,totalSupply,22,false,false
allowance,decreaseAllowance,23,false,true
msgSender,decreaseAllowance,23,false,true
reclaimToken,send,24,false,false
transfer,totalOut,25,true,false
balanceOf,totalBalances,26,true,false
transferFrom,spentTotal,27,true,false
spentTotal,allowance,28,false,false
decreaseAllowanceTotal,allowance,28,false,false
allowanceTotal,allowance,28,false,false
msgSender,transferOwnership,29,false,true
owner,transferOwnership,29,false,true
burn,allBurn,31,true,false
claimOwnership,owner,32,false,false
allowance,increaseAllowance,33,false,true
msgSender,increaseAllowance,33,false,true
increaseAllowance,allowanceTotal,34,true,false
